"ID","mean_t2m_D_2013_305","mean_t2m_D_2013_321","mean_t2m_D_2013_337","mean_t2m_D_2013_353","mean_t2m_D_2014_017","mean_t2m_D_2014_033","mean_t2m_D_2014_049","mean_t2m_D_2014_065","mean_mn2t_D_2013_305","mean_mn2t_D_2013_321","mean_mn2t_D_2013_337","mean_mn2t_D_2013_353","mean_mn2t_D_2014_017","mean_mn2t_D_2014_033","mean_mn2t_D_2014_049","mean_mn2t_D_2014_065","mean_mn2t_D_2014_081","mean_mn2t_D_2014_097","mean_mn2t_D_2014_113","mean_mx2t_D_2013_305","mean_mx2t_D_2013_321","mean_mx2t_D_2013_337","mean_mx2t_D_2013_353","mean_mx2t_D_2014_017","mean_mx2t_D_2014_033","mean_mx2t_D_2014_049","mean_mx2t_D_2014_065","mean_mx2t_D_2014_081","mean_mx2t_D_2014_097.1","mean_mx2t_D_2014_097.2","mean_tp_D_2013_305","mean_tp_D_2013_321","mean_tp_D_2013_337","mean_tp_D_2013_353","mean_tp_D_2014_017","mean_tp_D_2014_033","mean_tp_D_2014_049","mean_tp_D_2014_065","mean_tp_D_2014_081","mean_tp_D_2014_097","mean_tp_D_2014_113","mean_par_D_2013_305","mean_par_D_2013_321","mean_par_D_2013_337","mean_par_D_2013_353","mean_par_D_2014_017","mean_par_D_2014_033","mean_par_D_2014_049","mean_par_D_2014_065","mean_par_D_2014_081","mean_par_D_2014_097","mean_par_D_2014_113","mean_ssr_D_2013_305","mean_ssr_D_2013_321","mean_ssr_D_2013_337","mean_ssr_D_2013_353","mean_ssr_D_2014_017","mean_ssr_D_2014_033","mean_ssr_D_2014_049","mean_ssr_D_2014_065"
6731,24.58944511,21.66468811,20.1198864,18.2870369,16.1332016,17.26486015,19.50752258,21.06998825,23.88320923,20.47199631,18.8902626,17.01695442,14.7375021,15.83243847,18.12664223,19.68069267,23.40107346,26.985466,28.90094948,25.41674805,22.97474098,21.53475189,19.71598816,17.45172882,18.75366402,20.96587563,22.44083977,26.44430733,29.43155098,29.43155098,185.3185883,0.368260086,3.48e-05,0.183018848,0.291494787,0.04765185,46.14469528,1.277642727,11.77489853,66.53144836,20.71661949,572074.4375,679344.4375,620504.5,570600.4375,576170.4375,633292.5,652351.5625,743520.875,849031,901917.0625,976770.1875,3928524.25,4991523,4584561.5,4232668.5,4210633,4608544.5,4612325.5,5199021.5
6732,24.58944511,21.66468811,20.1198864,18.2870369,16.1332016,17.26486015,19.50752258,21.06998825,23.88320923,20.47199631,18.8902626,17.01695442,14.7375021,15.83243847,18.12664223,19.68069267,23.40107346,26.985466,28.90094948,25.41674805,22.97474098,21.53475189,19.71598816,17.45172882,18.75366402,20.96587563,22.44083977,26.44430733,29.43155098,29.43155098,185.3185883,0.368260086,3.48e-05,0.183018848,0.291494787,0.04765185,46.14469528,1.277642727,11.77489853,66.53144836,20.71661949,572074.4375,679344.4375,620504.5,570600.4375,576170.4375,633292.5,652351.5625,743520.875,849031,901917.0625,976770.1875,3928524.25,4991523,4584561.5,4232668.5,4210633,4608544.5,4612325.5,5199021.5
6733,24.58944511,21.66468811,20.1198864,18.2870369,16.1332016,17.26486015,19.50752258,21.06998825,23.88320923,20.47199631,18.8902626,17.01695442,14.7375021,15.83243847,18.12664223,19.68069267,23.40107346,26.985466,28.90094948,25.41674805,22.97474098,21.53475189,19.71598816,17.45172882,18.75366402,20.96587563,22.44083977,26.44430733,29.43155098,29.43155098,185.3185883,0.368260086,3.48e-05,0.183018848,0.291494787,0.04765185,46.14469528,1.277642727,11.77489853,66.53144836,20.71661949,572074.4375,679344.4375,620504.5,570600.4375,576170.4375,633292.5,652351.5625,743520.875,849031,901917.0625,976770.1875,3928524.25,4991523,4584561.5,4232668.5,4210633,4608544.5,4612325.5,5199021.5
6734,24.58944511,21.66468811,20.1198864,18.2870369,16.1332016,17.26486015,19.50752258,21.06998825,23.88320923,20.47199631,18.8902626,17.01695442,14.7375021,15.83243847,18.12664223,19.68069267,23.40107346,26.985466,28.90094948,25.41674805,22.97474098,21.53475189,19.71598816,17.45172882,18.75366402,20.96587563,22.44083977,26.44430733,29.43155098,29.43155098,185.3185883,0.368260086,3.48e-05,0.183018848,0.291494787,0.04765185,46.14469528,1.277642727,11.77489853,66.53144836,20.71661949,572074.4375,679344.4375,620504.5,570600.4375,576170.4375,633292.5,652351.5625,743520.875,849031,901917.0625,976770.1875,3928524.25,4991523,4584561.5,4232668.5,4210633,4608544.5,4612325.5,5199021.5
6735,24.58944511,21.66468811,20.1198864,18.2870369,16.1332016,17.26486015,19.50752258,21.06998825,23.88320923,20.47199631,18.8902626,17.01695442,14.7375021,15.83243847,18.12664223,19.68069267,23.40107346,26.985466,28.90094948,25.41674805,22.97474098,21.53475189,19.71598816,17.45172882,18.75366402,20.96587563,22.44083977,26.44430733,29.43155098,29.43155098,185.3185883,0.368260086,3.48e-05,0.183018848,0.291494787,0.04765185,46.14469528,1.277642727,11.77489853,66.53144836,20.71661949,572074.4375,679344.4375,620504.5,570600.4375,576170.4375,633292.5,652351.5625,743520.875,849031,901917.0625,976770.1875,3928524.25,4991523,4584561.5,4232668.5,4210633,4608544.5,4612325.5,5199021.5
6736,24.58944511,21.66468811,20.1198864,18.2870369,16.1332016,17.26486015,19.50752258,21.06998825,23.88320923,20.47199631,18.8902626,17.01695442,14.7375021,15.83243847,18.12664223,19.68069267,23.40107346,26.985466,28.90094948,25.41674805,22.97474098,21.53475189,19.71598816,17.45172882,18.75366402,20.96587563,22.44083977,26.44430733,29.43155098,29.43155098,185.3185883,0.368260086,3.48e-05,0.183018848,0.291494787,0.04765185,46.14469528,1.277642727,11.77489853,66.53144836,20.71661949,572074.4375,679344.4375,620504.5,570600.4375,576170.4375,633292.5,652351.5625,743520.875,849031,901917.0625,976770.1875,3928524.25,4991523,4584561.5,4232668.5,4210633,4608544.5,4612325.5,5199021.5
6737,24.58944511,21.66468811,20.1198864,18.2870369,16.1332016,17.26486015,19.50752258,21.06998825,23.88320923,20.47199631,18.8902626,17.01695442,14.7375021,15.83243847,18.12664223,19.68069267,23.40107346,26.985466,28.90094948,25.41674805,22.97474098,21.53475189,19.71598816,17.45172882,18.75366402,20.96587563,22.44083977,26.44430733,29.43155098,29.43155098,185.3185883,0.368260086,3.48e-05,0.183018848,0.291494787,0.04765185,46.14469528,1.277642727,11.77489853,66.53144836,20.71661949,572074.4375,679344.4375,620504.5,570600.4375,576170.4375,633292.5,652351.5625,743520.875,849031,901917.0625,976770.1875,3928524.25,4991523,4584561.5,4232668.5,4210633,4608544.5,4612325.5,5199021.5
6738,24.58944511,21.66468811,20.1198864,18.2870369,16.1332016,17.26486015,19.50752258,21.06998825,23.88320923,20.47199631,18.8902626,17.01695442,14.7375021,15.83243847,18.12664223,19.68069267,23.40107346,26.985466,28.90094948,25.41674805,22.97474098,21.53475189,19.71598816,17.45172882,18.75366402,20.96587563,22.44083977,26.44430733,29.43155098,29.43155098,185.3185883,0.368260086,3.48e-05,0.183018848,0.291494787,0.04765185,46.14469528,1.277642727,11.77489853,66.53144836,20.71661949,572074.4375,679344.4375,620504.5,570600.4375,576170.4375,633292.5,652351.5625,743520.875,849031,901917.0625,976770.1875,3928524.25,4991523,4584561.5,4232668.5,4210633,4608544.5,4612325.5,5199021.5
6739,24.58944511,21.66468811,20.1198864,18.2870369,16.1332016,17.26486015,19.50752258,21.06998825,23.88320923,20.47199631,18.8902626,17.01695442,14.7375021,15.83243847,18.12664223,19.68069267,23.40107346,26.985466,28.90094948,25.41674805,22.97474098,21.53475189,19.71598816,17.45172882,18.75366402,20.96587563,22.44083977,26.44430733,29.43155098,29.43155098,185.3185883,0.368260086,3.48e-05,0.183018848,0.291494787,0.04765185,46.14469528,1.277642727,11.77489853,66.53144836,20.71661949,572074.4375,679344.4375,620504.5,570600.4375,576170.4375,633292.5,652351.5625,743520.875,849031,901917.0625,976770.1875,3928524.25,4991523,4584561.5,4232668.5,4210633,4608544.5,4612325.5,5199021.5
6740,24.58944511,21.66468811,20.1198864,18.2870369,16.1332016,17.26486015,19.50752258,21.06998825,23.88320923,20.47199631,18.8902626,17.01695442,14.7375021,15.83243847,18.12664223,19.68069267,23.40107346,26.985466,28.90094948,25.41674805,22.97474098,21.53475189,19.71598816,17.45172882,18.75366402,20.96587563,22.44083977,26.44430733,29.43155098,29.43155098,185.3185883,0.368260086,3.48e-05,0.183018848,0.291494787,0.04765185,46.14469528,1.277642727,11.77489853,66.53144836,20.71661949,572074.4375,679344.4375,620504.5,570600.4375,576170.4375,633292.5,652351.5625,743520.875,849031,901917.0625,976770.1875,3928524.25,4991523,4584561.5,4232668.5,4210633,4608544.5,4612325.5,5199021.5
