"ID","MOD13Q1_NDVI_2013_305","MOD13Q1_NDVI_2013_321","MOD13Q1_NDVI_2013_337","MOD13Q1_NDVI_2013_353","MOD13Q1_NDVI_2014_001","MOD13Q1_NDVI_2014_017","MOD13Q1_NDVI_2014_033","MOD13Q1_NDVI_2014_049","MOD13Q1_NDVI_2014_065","MOD13Q1_NDVI_2014_081","MOD13Q1_NDVI_2014_097","MOD13Q1_NDVI_2014_113","MOD13Q1_EVI_2013_305","MOD13Q1_EVI_2013_321","MOD13Q1_EVI_2013_337","MOD13Q1_EVI_2013_353","MOD13Q1_EVI_2014_001","MOD13Q1_EVI_2014_017","MOD13Q1_EVI_2014_033","MOD13Q1_EVI_2014_049","MOD13Q1_EVI_2014_065","MOD13Q1_EVI_2014_081","MOD13Q1_EVI_2014_097","MOD13Q1_EVI_2014_113","MOD13Q1_SAVI_2013_305","MOD13Q1_SAVI_2013_321","MOD13Q1_SAVI_2013_337","MOD13Q1_SAVI_2013_353","MOD13Q1_SAVI_2014_001","MOD13Q1_SAVI_2014_017","MOD13Q1_SAVI_2014_033","MOD13Q1_SAVI_2014_049","MOD13Q1_SAVI_2014_065","MOD13Q1_SAVI_2014_081","MOD13Q1_SAVI_2014_097","MCD15A2H_Lai_2013_305","MCD15A2H_Lai_2013_313","MCD15A2H_Lai_2013_321","MCD15A2H_Lai_2013_329","MCD15A2H_Lai_2013_337","MCD15A2H_Lai_2013_345","MCD15A2H_Lai_2013_361","MCD15A2H_Lai_2014_001","MCD15A2H_Lai_2014_009","MCD15A2H_Lai_2014_017","MCD15A2H_Lai_2014_025","MCD15A2H_Lai_2014_033","MCD15A2H_Lai_2014_041","MCD15A2H_Lai_2014_049","MCD15A2H_Lai_2014_057","MCD15A2H_Lai_2014_065","MCD15A2H_Lai_2014_073","MCD15A2H_Lai_2014_081","MCD15A2H_Lai_2014_089","MCD15A2H_Lai_2014_097","MCD15A2H_Lai_2014_105","MCD15A2H_Lai_2014_113","MOD16A2_PET_500m_2013_305","MOD16A2_PET_500m_2013_313","MOD16A2_PET_500m_2013_329","MOD16A2_PET_500m_2013_337","MOD16A2_PET_500m_2013_345","MOD16A2_PET_500m_2013_361","MOD16A2_PET_500m_2014_001","MOD16A2_PET_500m_2014_009","MOD16A2_PET_500m_2014_017","MOD16A2_PET_500m_2014_025","MOD16A2_PET_500m_2014_033","MOD16A2_PET_500m_2014_041","MOD16A2_PET_500m_2014_049","MOD16A2_PET_500m_2014_057","MOD16A2_PET_500m_2014_065","MOD16A2_PET_500m_2014_073","MOD16A2_PET_500m_2014_081","MOD16A2_PET_500m_2014_089","MOD16A2_PET_500m_2014_097","MOD16A2_PET_500m_2014_105","MOD16A2_PET_500m_2014_113"
6741,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6742,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6743,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6744,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6745,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6746,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6747,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6748,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6749,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6750,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6751,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6752,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6753,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6754,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6755,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
6756,0.7365,0.5383,0.6387,0.6687,0.6203,0.6115,0.5804,0.6332,0.6805,0.7446,0.6738,0.5186,0.4261,0.2469,0.3383,0.3511,0.3077,0.3149,0.2797,0.2843,0.396,0.4437,0.4307,0.3427,1.1046,0.8074,0.9579,1.003,0.9303,0.9172,0.8705,0.9496,1.0206,1.1168,1.0106,15,16,12,11,9,10,14,14,7,6,6,10,8,8,14,16,17,19,19,15,16,11,32765,383,32765,285,306,32765,32765,234,32765,419,473,442,32765,489,556,634,32765,657,677,698,723
